Cluster 0 Probability,Cluster 1 Probability,Cluster 2 Probability,Cluster 3 Probability
3.532292569955456e-103,1.1334964192838722e-62,6.15825264e-316,1.0
1.2504090641063543e-50,1.041056559874803e-47,2.8468805470479744e-258,1.0
2.499518246810208e-44,6.458558965921214e-88,1.0087299232486333e-234,1.0
0.999117911242581,1.4390728437288064e-30,1.7120514027560853e-125,0.0008820887574191419
5.202487242350341e-90,1.5881425952373564e-72,2.1167911387014574e-238,1.0
1.0,1.4048162055596714e-156,1.9719055719831153e-259,2.0458520240991705e-111
1.0,1.8147627817524505e-61,6.20762839554822e-94,2.1238120943621376e-20
0.0,2.851437554691188e-223,1.743e-320,1.0
0.0,5.92636987042446e-106,1.712438800944572e-283,1.0
1.4784692674756907e-51,5.573188455599328e-21,2.0753268368325523e-54,1.0
